順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
507,乗り上げる,縁石,0.181818,6,18,21,33,7682
508,加工,機械,0.181818,6,15,24,33,7682
509,心肺,教員,0.181287,31,96,106,171,7682
510,受傷部位:歯牙,本,0.181087,180,777,397,994,7682
511,前額,挫創,0.180952,38,146,102,210,7682
512,眼窩,視,0.180328,22,60,84,122,7682
513,番,養護,0.18,9,40,19,50,7682
514,失う,指,0.179747,71,212,254,395,7682
515,痛み,訴える,0.179039,41,171,99,229,7682
516,実習,調理,0.178571,15,76,23,84,7682
517,自転車,転倒,0.178112,249,393,1254,1398,7682
518,折,補綴,0.177843,61,203,201,343,7682
519,植え込む,蘇生,0.177778,16,41,65,90,7682
520,性,残る,0.177329,158,252,797,891,7682
521,受傷部位:顎顔面,顎,0.177215,224,1264,224,1264,7682
